S1	S2	Spkr1	Spkr2	DdB1	DdB2
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	68	8	8	0	-3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
34	17	8	8	0	3
