Dur	LoPass	HiPass	IsSweep	AMFrqHz	AMDpth	AMPhase	TonePha	Gauss	RampMS	Seed
500	125	16000	-2	0	100	0.3333	0.3	1	5	0
500	125	16000	-2	1	100	0.3333	0.3	1	5	0
500	125	16000	-2	2	100	0.3333	0.3	1	5	0
500	125	16000	-2	3	100	0.3333	0.3	1	5	0
500	125	16000	-2	4	100	0.3333	0.3	1	5	0
500	125	16000	-2	5	100	0.3333	0.3	1	5	0
500	125	16000	-2	6	100	0.3333	0.3	1	5	0
500	125	16000	-2	7	100	0.3333	0.3	1	5	0
500	125	16000	-2	8	100	0.3333	0.3	1	5	0
500	125	16000	-2	9	100	0.3333	0.3	1	5	0
500	125	16000	-2	10	100	0.3333	0.3	1	5	0
500	125	16000	-2	11	100	0.3333	0.3	1	5	0
500	125	16000	-2	12	100	0.3333	0.3	1	5	0
500	125	16000	-2	13	100	0.3333	0.3	1	5	0
500	125	16000	-2	14	100	0.3333	0.3	1	5	0
500	125	16000	-2	15	100	0.3333	0.3	1	5	0
500	125	16000	-2	16	100	0.3333	0.3	1	5	0
500	125	16000	-2	17	100	0.3333	0.3	1	5	0
500	125	16000	-2	18	100	0.3333	0.3	1	5	0
500	125	16000	-2	19	100	0.3333	0.3	1	5	0
500	125	16000	-2	20	100	0.3333	0.3	1	5	0
500	125	16000	-2	21	100	0.3333	0.3	1	5	0
500	125	16000	-2	22	100	0.3333	0.3	1	5	0
500	125	16000	-2	23	100	0.3333	0.3	1	5	0
500	125	16000	-2	24	100	0.3333	0.3	1	5	0
500	125	16000	-2	25	100	0.3333	0.3	1	5	0
500	125	16000	-2	26	100	0.3333	0.3	1	5	0
500	125	16000	-2	27	100	0.3333	0.3	1	5	0
500	125	16000	-2	28	100	0.3333	0.3	1	5	0
500	125	16000	-2	29	100	0.3333	0.3	1	5	0
500	125	16000	-2	30	100	0.3333	0.3	1	5	0
500	125	16000	-2	31	100	0.3333	0.3	1	5	0
500	125	16000	-2	32	100	0.3333	0.3	1	5	0
500	125	16000	-2	33	100	0.3333	0.3	1	5	0
500	125	16000	-2	34	100	0.3333	0.3	1	5	0
500	125	16000	-2	35	100	0.3333	0.3	1	5	0
500	125	16000	-2	36	100	0.3333	0.3	1	5	0
500	125	16000	-2	37	100	0.3333	0.3	1	5	0
500	125	16000	-2	38	100	0.3333	0.3	1	5	0
500	125	16000	-2	39	100	0.3333	0.3	1	5	0
500	125	16000	-2	40	100	0.3333	0.3	1	5	0
500	125	16000	-2	41	100	0.3333	0.3	1	5	0
500	125	16000	-2	42	100	0.3333	0.3	1	5	0
500	125	16000	-2	43	100	0.3333	0.3	1	5	0
500	125	16000	-2	44	100	0.3333	0.3	1	5	0
500	125	16000	-2	45	100	0.3333	0.3	1	5	0
500	125	16000	-2	46	100	0.3333	0.3	1	5	0
500	125	16000	-2	47	100	0.3333	0.3	1	5	0
500	125	16000	-2	48	100	0.3333	0.3	1	5	0
500	125	16000	-2	49	100	0.3333	0.3	1	5	0
500	125	16000	-2	50	100	0.3333	0.3	1	5	0
500	125	16000	-2	51	100	0.3333	0.3	1	5	0
500	125	16000	-2	52	100	0.3333	0.3	1	5	0
500	125	16000	-2	53	100	0.3333	0.3	1	5	0
500	125	16000	-2	54	100	0.3333	0.3	1	5	0
500	125	16000	-2	55	100	0.3333	0.3	1	5	0
500	125	16000	-2	56	100	0.3333	0.3	1	5	0
500	125	16000	-2	57	100	0.3333	0.3	1	5	0
500	125	16000	-2	58	100	0.3333	0.3	1	5	0
500	125	16000	-2	59	100	0.3333	0.3	1	5	0
500	125	16000	-2	60	100	0.3333	0.3	1	5	0
500	125	16000	-2	61	100	0.3333	0.3	1	5	0
500	125	16000	-2	62	100	0.3333	0.3	1	5	0
500	125	16000	-2	63	100	0.3333	0.3	1	5	0
500	125	16000	-2	64	100	0.3333	0.3	1	5	0
500	125	16000	-2	65	100	0.3333	0.3	1	5	0
500	125	16000	-2	66	100	0.3333	0.3	1	5	0
500	125	16000	-2	67	100	0.3333	0.3	1	5	0
500	125	16000	-2	68	100	0.3333	0.3	1	5	0
500	125	16000	-2	69	100	0.3333	0.3	1	5	0
500	125	16000	-2	70	100	0.3333	0.3	1	5	0
